"b_Intercept","alpha"
148.114914666777,150.325753985102
148.038792495657,150.323030415919
148.170181507965,150.318505371555
147.60634813709,150.320605723077
147.933525295212,150.321228077218
148.086099673045,150.320822036916
147.014829798109,150.319967138313
147.041468626694,150.319944222488
147.228532082361,150.320156514706
147.234848230066,150.320156514706
147.03686092123,150.320156514706
146.168220981592,150.320386337125
151.908733924647,150.320734855177
151.120324406866,150.324499530369
150.621077210431,150.323543650143
151.122841750141,150.324295629342
151.62212070958,150.324271531337
151.510970632324,150.330828037319
151.441088577826,150.32975760197
151.93939404759,150.329747476438
151.673324440507,150.330200750602
152.142058848905,150.329238671641
152.345119781222,150.32896350542
152.400981078697,150.330486488464
151.735545211312,150.332642708895
151.939928383843,150.334870910022
151.884521795537,150.333840746843
151.754781192055,150.325830666275
151.583982939004,150.326701403076
149.939513624653,150.327910733449
150.948943295333,150.330188643592
151.049826902238,150.330483238314
152.725644440421,150.326581910799
152.744666038099,150.31899111613
152.605144849173,150.317308390028
152.459850252905,150.308401984402
152.44005601978,150.308539570817
150.827096634376,150.307420532383
143.633939027232,150.308006095036
143.763538663285,150.315694554826
144.083705420449,150.315987180109
145.2490508735,150.315369043387
145.040369179706,150.316228958775
148.170828067311,150.316216841237
147.630954195687,150.318732048324
148.627317872496,150.322022665804
148.531458001389,150.314833120562
148.056042611167,150.318238569814
146.310333255095,150.318122957461
147.753319819205,150.318074385526
147.889502773507,150.32206361571
147.443957499291,150.322358161192
147.662507084847,150.322768892701
147.407342121173,150.332752729762
147.073660596247,150.332220859967
147.304732930309,150.332945701711
148.3542094506,150.330560611804
146.336464354331,150.331287979372
146.436597753921,150.332606603119
146.384980361922,150.340416840689
146.521222025463,150.339728828877
145.320868490864,150.338797385087
146.566648088514,150.341029505482
146.48318324366,150.340622546319
146.71779768694,150.337619169125
145.797716875263,150.336773188383
145.981419152231,150.338857474584
146.128306422314,150.340672029948
145.661510989481,150.338673619713
146.084813177304,150.340426061946
146.015517763814,150.342671843911
146.568497889033,150.3427691501
146.129252624124,150.343421083207
146.401209593359,150.346846618538
146.744617553748,150.345884957907
146.410565171257,150.34173616839
147.126218064066,150.341245873977
146.66720013432,150.341137345055
144.215962281281,150.340856763778
145.288587193165,150.341958056819
145.468371045541,150.339103868234
145.798224823781,150.33904091363
146.428696232667,150.338988826465
146.259150219825,150.339981726567
145.859293021235,150.339851511174
145.505193533262,150.339470804248
145.423350814534,150.339470804248
145.721981345701,150.340900447515
150.377153987244,150.340023366091
150.275776544439,150.340431707973
150.243597229046,150.341280312118
149.950723392693,150.340824827008
149.88485335029,150.341613940342
149.500653978802,150.346846040637
149.263189232525,150.346517362561
149.829080739794,150.346885666151
149.813094753656,150.349061329942
149.177434291855,150.349025955186
148.820979933735,150.34884600371
148.64511400495,150.350147267296
148.571013096196,150.344191412756
149.168174675424,150.346877234085
148.751332808413,150.345787904195
149.07578083976,150.346640482011
148.88366669394,150.351056087202
148.279401926134,150.350545439764
148.227181020701,150.34233621307
148.40755393064,150.344070389002
145.948334774725,150.346560821548
145.950449705364,150.347456717392
146.463922807868,150.346340135225
144.258208876788,150.342426634181
144.044342726072,150.341958399333
146.553834612005,150.347241896681
151.940966820716,150.347206495809
152.032659218089,150.346572362436
144.485796713396,150.346335278974
144.723728096435,150.346401072997
146.031796955785,150.346516007343
149.096382568978,150.346119152035
142.308019278681,150.344982322555
142.108284440849,150.345321442496
142.764820453733,150.341722278096
142.661110487835,150.34183917947
142.925905833654,150.341771314067
142.928696407713,150.341062522319
143.096390526576,150.34094283432
143.383009874336,150.34094283432
143.575625564587,150.341000504706
143.435622281851,150.340996800386
147.992385629348,150.340646143753
148.519419660496,150.341222465077
148.329106782681,150.341276594451
148.651358978196,150.341674161602
148.571613916073,150.341549997575
147.74888519135,150.341535441655
147.429382165142,150.340040740154
148.468169201329,150.340011133125
147.139192133997,150.340956573988
146.541923543926,150.340572207959
147.09756704936,150.340337344344
144.734033035519,150.339911417503
144.345350631108,150.339978863788
145.048072801277,150.340647052256
145.715960816065,150.341076288833
145.9980522319,150.337871923939
146.03387172807,150.337363102124
145.699206676367,150.33811849911
146.296953963327,150.33898174452
146.709910812847,150.33574738832
146.438121631435,150.334717169243
146.570260947528,150.3340401545
144.162990954291,150.335736820905
142.184423554788,150.33172110888
142.0628006326,150.332752195264
143.399900568649,150.333140807416
145.803587929703,150.330746136936
141.012603288303,150.330308056123
141.30251078269,150.330574864088
141.411012753502,150.329463453599
140.888537444761,150.329879431619
141.619675565517,150.330020511777
142.775672470491,150.328520204801
142.838259116322,150.325310205896
142.147541508825,150.324790244845
142.911221678546,150.316952661393
143.488461894276,150.317276950111
143.541840034403,150.314482987224
143.036579925981,150.313887662186
144.040392634221,150.309902559561
143.573163654997,150.312332919984
143.859722518369,150.318085432791
143.466324827162,150.320204556056
143.57508066098,150.315927191703
145.993230423843,150.31628691666
146.479438197825,150.318202457229
148.006670076862,150.319378495765
147.325707278911,150.320526354421
147.30226457133,150.322115280472
146.84594520911,150.321308964473
147.388565349153,150.321961919695
146.974510654525,150.32219363598
147.40209802701,150.320561163626
147.537343195851,150.316129280261
147.171828638977,150.316387176451
147.449452999364,150.317662225469
149.245108386559,150.317879248549
149.920046696066,150.314059725184
150.690191562997,150.3144464468
149.983018617511,150.322899502822
148.07322022547,150.324678574727
147.126726026761,150.326274014464
147.010312700248,150.325137022486
148.519510914669,150.32443056979
148.523623694982,150.324302975254
148.949588146686,150.322612938799
149.185045920838,150.320867522697
149.244908197935,150.330390907096
149.051744672235,150.329257176626
149.135783637848,150.329146311105
148.907621998823,150.328193429884
149.266304537303,150.328586152997
149.89951447047,150.329554011148
149.799801711811,150.329161604581
149.808187166342,150.325376745084
149.811646379024,150.326076138302
149.688383627351,150.331459489936
150.687515792946,150.331754500688
150.547668411297,150.337356101833
151.441902517696,150.338720175493
149.835296106737,150.337702895882
148.57161726385,150.332776817979
148.386416034793,150.333664830315
148.566228231245,150.31877783208
148.242176648977,150.317130657396
147.658440254036,150.315768770796
147.919779293824,150.315809052109
147.453996342746,150.315779305237
147.628394488446,150.321371521492
147.608748534477,150.314408195744
146.66773898156,150.309215169666
147.625440201393,150.300050396268
147.821862799962,150.304639895797
151.454271618452,150.307516269971
151.510104344104,150.307331873229
151.426493256791,150.30586914543
151.042397691765,150.305494918508
151.564166437018,150.305962351313
150.641976231717,150.308908293023
149.484645813171,150.30423026144
150.58099303412,150.305820327777
149.249894801808,150.305130627547
147.383137561005,150.303822086668
147.89786826018,150.301523623601
147.50984506805,150.301507571223
146.801095740412,150.30526484565
147.057077895769,150.303809622381
146.131653513371,150.305254020964
145.839672566617,150.305508945673
145.893989907271,150.304664571789
146.022987645145,150.306504422804
145.228369589895,150.300403190776
145.607018322531,150.303365536035
145.821027955234,150.304761187944
146.75132965884,150.306344815661
146.057339590877,150.297244673587
151.398005881621,150.293957031781
152.526148264733,150.293661589212
150.638218474051,150.300769328616
150.7415830723,150.303595708938
150.41987956389,150.303544050273
150.711822932949,150.301695573504
151.363621192204,150.30130176612
151.01034360802,150.301277259792
150.607386806209,150.309891601695
151.760616242569,150.30817352594
152.524662135831,150.306911549886
151.533321894056,150.306618182078
151.135690624035,150.308220422115
151.309021921147,150.312140951794
151.822638685323,150.318082519993
152.310979670108,150.317579688166
153.974660282795,150.318274931264
153.708263037866,150.34384005951
152.647693395775,150.345821995539
152.617084057598,150.34891748367
152.844703780231,150.347332245484
151.787751154563,150.342118878167
155.349453754463,150.341879938131
155.842234304856,150.343035205658
157.915206798376,150.343765971094
158.804094109476,150.336755487756
158.398879457468,150.337188842712
155.138420938021,150.336176626114
156.163491928076,150.335728343286
157.345670676616,150.339055972516
156.860716457459,150.343266750158
156.484685756662,150.342091012945
156.37070093522,150.342187433452
150.540252718624,150.342187433452
150.802355036184,150.342897469926
150.5975203866,150.342842453763
148.469123941139,150.342842453763
148.798903845293,150.342731638887
148.881698833638,150.342798248882
147.615891266146,150.342798248882
148.345879936087,150.343080510583
151.290979329227,150.341279411471
151.034734424236,150.341592482529
151.162116660111,150.341484509915
150.323383454816,150.341243726049
150.153028997706,150.341441724083
149.262866670601,150.341568826182
148.189842509932,150.341435819386
145.365167176883,150.341435819386
144.538122652941,150.341754746305
145.005181609876,150.341049509311
144.594433612556,150.343009530723
143.622001195386,150.341949057199
143.781361032773,150.333896975586
144.207597804284,150.329543347899
144.050814357552,150.339590412721
145.18398474318,150.326671490068
145.252925571812,150.325590721962
144.194635136036,150.328408812578
144.351487298625,150.321469093144
